bid,bname,prog_lang,x,x1,x2,x4
3741,Learning D3.js Mapping,,,,,
3742,Social Data Visualization with HTML5 and JavaScript,,,,,
3743,Expert Data Visualization,,,,,
3744,D3.js By Example,,,,,
3745,Data Visualization: Representing Information on Modern Web,,,,,
3746,FusionCharts Beginner's Guide: The Official Guide for FusionCharts Suite,,,,,
3747,Google Visualization API Essentials,,,,,
3748,Learning Highcharts,,,,,
3749,Learning Highcharts 4,,,,,
3750,Kibana Essentials,,,,,
3751,OpenLayers 3.x Cookbook - Second Edition,,,,,
3752,Sencha Charts Essentials,,,,,
3753,Socket.IO Cookbook,,,,,
3754,Learn Three.js - Third Edition,,,,,
3755,Three.js Cookbook,,,,,
3756,Learning Three.js - the JavaScript 3D Library for WebGL (Second Edition),,,,,
3757,Learning Three.js: The JavaScript 3D Library for WebGL,,,,,
3758,Learning Angular - Third Edition,,,,,
3759,"Architecting Angular Applications with Redux, RxJS, and NgRx",,,,,
3760,Angular 6 by Example - Third Edition,,,,,
3761,Mastering Angular Components - Second Edition,,,,,
3762,Expert Angular,,,,,
3763,Mastering Angular 2 Components,,,,,
3764,Angular 2 Components,,,,,
3765,Angular Services,,,,,
3766,Learning Web Development with Bootstrap and AngularJS,,,,,
3767,Learning Angular - Second Edition,,,,,
3768,AngularJS Directives Cookbook,,,,,
3769,Building Modern Web Applications Using Angular 4,,,,,
3770,AngularJS by Example,,,,,
3771,Switching to Angular - Third Edition,,,,,
3772,Angular Projects,,,,,
3773,Hands-on Full Stack Development with Angular 5 and Firebase,,,,,
3774,Angular 2 By Example,,,,,
3775,Getting Started with Angular - Second Edition,,,,,
3776,AngularJS: Maintaining Web Applications,,,,,
3777,AngularJS Web Application Development Blueprints,,,,,
3778,AngularJS Directives,,,,,
3779,Data-oriented Development with AngularJS,,,,,
3780,AngularJS Services,,,,,
3781,AngularJS Essentials,,,,,
3782,AngularJS Deployment Essentials,,,,,
3783,Mastering Web Application Development with AngularJS,,,,,
3784,Backbone.js Blueprints,,,,,
3785,Mastering Backbone.js,,,,,
3786,Getting Started with Backbone Marionette,,,,,
3787,Backbone.js Essentials,,,,,
3788,Backbone.js Cookbook,,,,,
3789,Mastering Ext JS - Second Edition,,,,,
3790,Ext JS 3.0 Cookbook,,,,,
3791,Ext JS Data-driven Application Design,,,,,
3792,Learning Ext JS 3.2,,,,,
3793,Ext.NET Web Application Development,,,,,
3794,Mastering Ext JS,,,,,
3795,Ext JS Application Development Blueprints,,,,,
3796,Ext JS Essentials,,,,,
3797,jQuery UI Cookbook,,,,,
3798,Mastering jQuery UI,,,,,
3799,jQuery UI Themes Beginner's Guide,,,,,
3800,Instant jQuery UI Starter,,,,,
3801,jQuery UI 1.6: The User Interface Library for jQuery,,,,,
3802,Learning jQuery 3 - Fifth Edition,,,,,
3803,jQuery UI 1.10: The User Interface Library for jQuery,,,,,
3804,jQuery 2.0 Development Cookbook,,,,,
3805,Mastering jQuery,,,,,
3806,jQuery Plugin Development Beginner's Guide,,,,,
3807,jQuery 1.4 Reference Guide,,,,,
3808,jQuery HOTSHOT,,,,,
3809,jQuery for Designers: Beginner's Guide,,,,,
3810,jQuery 2.0 Animation Techniques: Beginner's Guide,,,,,
3811,Learning jQuery: Better Interaction Design and Web Development with Simple JavaScript Techniques,,,,,
3812,Instant jQuery Boilerplate for Plugins,,,,,
3813,Instant jQuery 2.0 Table Manipulation How-to,,,,,
3814,Instant jQuery Drag-and-Drop Grids How-to,,,,,
3815,KnockoutJS Essentials,,,,,
3816,KnockoutJS by Example,,,,,
3817,Web App Testing Using Knockout.JS,,,,,
3818,KnockoutJS Blueprints,,,,,
3819,KnockoutJS Web Development,,,,,
3820,Learning Redux,,,,,
3821,Learning Node.js for .NET Developers,,,,,
3822,Instant Node.js Starter,,,,,
3823,React 17 Design Patterns and Best Practices - Third Edition,,,,,
3824,React and React Native - Third Edition,,,,,
3825,The React Workshop,,,,,
3826,React Material-UI Cookbook,,,,,
3827,React Projects,,,,,
3828,Learn React Hooks,,,,,
3829,React Cookbook,,,,,
3830,Beginning React,,,,,
3831,React.js Essentials,,,,,
3832,MobX Quick Start Guide,,,,,
3833,React 16 Tooling,,,,,
3834,ReactJS by Example - Building Modern Web Applications with React,,,,,
3835,Getting Started with React,,,,,
3836,Create React App 2 Quick Start Guide,,,,,
3837,React Router Quick Start Guide,,,,,
3838,Mastering React,,,,,
3839,ReactJS Blueprints,,,,,
3840,React 16 Essentials - Second Edition,,,,,
3841,Learning Web Development with React and Bootstrap,,,,,
3842,Vue.js 3 Cookbook,,,,,
3843,Vue.js Quick Start Guide,,,,,
3844,Vue.js 2.x by Example,,,,,
3845,Vue.js 2 Cookbook,,,,,
3846,Vue.js 2 Web Development Projects,,,,,
3847,The Majesty Of Vue.js,,,,,
3848,Learning Vue.js 2,,,,,
3849,ASP.NET Core 2 and Angular 5,,,,,
3850,"MongoDB, Express, Angular, and Node.js Fundamentals",,,,,
3851,MEAN Web Development - Second Edition,,,,,
3852,MEAN Cookbook,,,,,
3853,MEAN Blueprints,,,,,
3854,MEAN Web Development,,,,,
3855,Learning Angular 4 for .NET Developers,,,,,
3856,Web Application Development with MEAN,,,,,
3857,ASP.NET Core and Angular 2,,,,,
3858,Hands-On Full Stack Web Development with Aurelia,,,,,
3859,Meteor: Full-Stack Web Application Development,,,,,
3860,Web Development with MongoDB and Node.js,,,,,
3861,Full Stack Web Development with Raspberry Pi 3,,,,,
3862,Hands-On Full Stack Development with Spring Boot 2 and React - Second Edition,,,,,
3863,Hands-on Full-Stack Web Development with GraphQL and React,,,,,
3864,MERN Quick Start Guide,,,,,
3865,Serverless Web Applications with React and Firebase,,,,,
3866,JavaScript for .NET Developers,,,,,
3867,Full-Stack Web Development with Vue.js and Node,,,,,
3868,Full-Stack Vue.js 2 and Laravel 5,,,,,
3869,Instant AngularJS Starter,,,,,
3870,Mastering Bootstrap 4 - Second Edition,,,,,
3871,Bootstrap for ASP.NET MVC - Second Edition,,,,,
3872,Bootstrap 4 By Example,,,,,
3873,Learning Bootstrap 4 - Second Edition,,,,,
3874,Bootstrap 4 Cookbook,,,,,
3875,Bootstrap 4 Site Blueprints,,,,,
3876,Bootstrap Site Blueprints,,,,,
3877,Bootstrap for Rails,,,,,
3878,Bootstrap Site Blueprints Volume II,,,,,
3879,Responsive Web Design by Example : Beginner's Guide,,,,,
3880,Extending Bootstrap,,,,,
3881,Web Development with Bootstrap 4 and Angular 2 - Second Edition,,,,,
3882,Mobile First Bootstrap,,,,,
3883,Django JavaScript Integration: AJAX and jQuery,,,,,
3884,jQuery Mobile Web Development Essentials - Second Edition,,,,,
3885,Hands-On JavaScript High Performance,,,,,
3886,Three.js Essentials,,,,,
3887,Server-Side Enterprise Development with Angular,,,,,
3888,Beginning Server-Side Application Development with Angular,,,,,
3889,Express.js Blueprints,,,,,
3890,Mastering Firebase for Android Development,,,,,
3891,Liferay Beginner's Guide,,,,,
3892,Build Applications with Meteor,,,,,
3893,Meteor Cookbook,,,,,
3894,Getting Started with Meteor.js JavaScript Framework,,,,,
3895,Mastering MeteorJS Application Development,,,,,
3896,Instant Meteor JavaScript Framework Starter,,,,,
3897,Web Development with MongoDB and NodeJS - Second Edition,,,,,
3898,Node.js Web Development - Fifth Edition,,,,,
3899,Node Cookbook - Fourth Edition,,,,,
3900,Mastering Node.js - Second Edition,,,,,
3901,Learning Node.js Development,,,,,
3902,Node.js Web Development - Fourth Edition,,,,,
3903,Node Cookbook - Third Edition,,,,,
3904,Advanced Node.js Development,,,,,
3905,Web Development with MongoDB and Node - Third Edition,,,,,
3906,Server Side development with Node.js and Koa.js Quick Start Guide,,,,,
3907,Node.js Web Development - Third Edition,,,,,
3908,Learn Node.js by Building 6 Projects,,,,,
3909,Node.js 6.x Blueprints,,,,,
3910,Deploying Node.js,,,,,
3911,Node Cookbook: Second Edition,,,,,
3912,Node.js By Example,,,,,
3913,Node Cookbook,,,,,
3914,Node Web Development,,,,,
3915,Mastering Node.js,,,,,
3916,Node.js Blueprints,,,,,
3917,Hands-on Nuxt.js Web Development,,,,,
3918,Vue CLI 3 Quick Start Guide,,,,,
3919,AngularJS UI Development,,,,,
3920,Ext JS 4 First Look,,,,,
3921,Ext JS 4 Web Application Development Cookbook,,,,,
3922,Ext JS 4 Plugin and Extension Development,,,,,
3923,Learning Ext JS,,,,,
3924,jQuery UI 1.8: The User Interface Library for jQuery,,,,,
3925,jQuery UI 1.7: The User Interface Library for jQuery,,,,,
3926,Sencha MVC Architecture,,,,,
3927,"Sencha Touch Cookbook, Second Edition",,,,,
3928,Sencha Architect App Development,,,,,
3929,Vue.js: Understanding its Tools and Ecosystem,,,,,
3930,Building UIs with Wijmo,,,,,
3931,Learning the Yahoo! User Interface library,,,,,
3932,Instant Adobe Edge Inspect Starter,,,,,
3933,AMP: Building Accelerated Mobile Pages,,,,,
3934,Responsive Web Design with AngularJS,,,,,
3935,Practical Web Design,,,,,
3936,jQuery for Designers Beginner's Guide Second Edition,,,,,
3937,Creating Flat Design Websites,,,,,
3938,Learning jQuery 1.3,,,,,
3939,Learning Less.js,,,,,
3940,Getting Started with Ghost,,,,,
3941,Building Business Websites with Squarespace 7,,,,,
3942,Mastering JavaScript Single Page Application Development,,,,,
3943,Mastering AngularJS Directives,,,,,
3944,JavaScript : Moving to ES2015,,,,,
3945,Babylon.js Essentials,,,,,
3946,Getting Started with CreateJS,,,,,
3947,Learn D3.js,,,,,
3948,Google Apps Script for Beginners,,,,,
3949,Mastering Immutable.js,,,,,
3950,Practical Web Development,,,,,
3951,Learning Behavior-driven Development with JavaScript,,,,,
3952,Lo-Dash Essentials,,,,,
3953,JavaScript Concurrency,,,,,
3954,Modern JavaScript Applications,,,,,
3955,JavaScript at Scale,,,,,
3956,Full-Stack React Projects - Second Edition,,,,,
3957,Isomorphic JavaScript Web Development,,,,,
3958,Creating Dynamic UI with Android Fragments,,,,,
3959,Android Studio 3.5 Development Essentials - Kotlin Edition,,,,,
3960,Android Studio 3.5 Development Essentials - Java Edition,,,,,
3961,Android Studio Cookbook,,,,,
3962,Mastering Android Studio 3,,,,,
3963,Android Wearable Programming,,,,,
3964,Android Studio Essentials,,,,,
3965,Android Studio 2 Essentials - Second Edition,,,,,
3966,Android Studio 4.2 Development Essentials - Java Edition,,,,,
3967,Android Studio 4.0 Development Essentials - Java Edition,,,,,
3968,Android Wear Projects,,,,,
3969,Android System Programming,,,,,
3970,Android Development with Kotlin,,,,,
3971,Expert Android Programming,,,,,
3972,Android Design Patterns and Best Practice,,,,,
3973,Hands-On Android UI Development,,,,,
3974,Gradle for Android,,,,,
3975,Asynchronous Android Programming - Second Edition,,,,,
3976,Learning Embedded Android N Programming,,,,,
3977,Android Programming for Beginners,,,,,
3978,Android Application Programming with OpenCV,,,,,
3979,Learning Android Google Maps,,,,,
3980,Mastering Android Application Development,,,,,
3981,Android 5 Programming by Example,,,,,
3982,Learning Android Application Development,,,,,
3983,Voice Application Development for Android,,,,,
3984,Asynchronous Android,,,,,
3985,Android Application Development Cookbook - Second Edition,,,,,
3986,Learning Android Application Testing,,,,,
3987,Android 4: New Features for Application Development,,,,,
3988,Android Application Development with Maven,,,,,
3989,Mastering OpenCV Android Application Programming,,,,,
3990,Apache Tomcat 7 Essentials,,,,,
3991,Tomcat 6 Developer's Guide,,,,,
3992,Instant JRebel,,,,,
3993,Eclipse Plug-in Development: Beginner's Guide - Second Edition,,,,,
3994,Getting Started with Eclipse Juno,,,,,
3995,Mastering Eclipse Plug-in Development,,,,,
3996,Eclipse 4 Plug-in Development by Example Beginner's Guide,,,,,
3997,Java EE 8 Application Development,,,,,
3998,Java EE 8 Development with Eclipse - Third Edition,,,,,
3999,Java EE 7 Development with NetBeans 8,,,,,
4000,Mastering Java EE Development with WildFly,,,,,
4001,JDBC 4.0 and Oracle JDeveloper for J2EE Development,,,,,
4002,Java EE Development with Eclipse,,,,,
4003,Java EE Development with Eclipse - Second Edition,,,,,
4004,DWR Java AJAX Applications,,,,,
4005,Java EE 7 Developer Handbook,,,,,
4006,Java EE 6 Development with NetBeans 7,,,,,
4007,Java EE 6 with GlassFish 3 Application Server,,,,,
4008,Advanced Java EE Development with WildFly,,,,,
4009,Mastering JavaFX 10,,,,,
4010,JavaFX 1.2 Application Development Cookbook,,,,,
4011,Mastering JBoss Enterprise Application Platform 7,,,,,
4012,JBoss: Developer's Guide,,,,,
4013,JBoss Tools 3 Developers Guide,,,,,
4014,JBoss AS 7 Development,,,,,
4015,JBoss Weld CDI for Java Platform,,,,,
4016,JBoss Drools Business Rules,,,,,
4017,"JBoss AS 7 Configuration, Deployment and Administration",,,,,
4018,Liferay 6.x Portal Enterprise Intranets Cookbook,,,,,
4019,Liferay Portal 6.2 Enterprise Intranets,,,,,
4020,Mastering NetBeans,,,,,
4021,NetBeans IDE 7 Cookbook,,,,,
4022,Java EE 5 Development with NetBeans 6,,,,,
4023,Building SOA-Based Composite Applications Using NetBeans IDE 6,,,,,
4024,Oracle ADF 11gR2 Development Beginner's Guide,,,,,
4025,Oracle ADF Real World Developer's Guide,,,,,
4026,Oracle ADF Enterprise Application Development - Made Simple,,,,,
4027,Mastering Spring Boot 2.0,,,,,
4028,Spring Boot 2.0 Projects,,,,,
4029,Spring Boot 2.0 Cookbook - Second Edition,,,,,
4030,Spring 5.0 Projects,,,,,
4031,Mastering Spring 5.0,,,,,
4032,Spring 5.0 Cookbook,,,,,
4033,Spring Data,,,,,
4034,Spring 5.0 By Example,,,,,
4035,Learn Spring for Android Application Development,,,,,
4036,Learning Spring Application Development,,,,,
4037,Learning Spring 5.0,,,,,
4038,Spring Cookbook,,,,,
4039,Instant Spring Tool Suite,,,,,
4040,Master Apache JMeter - From Load Testing to DevOps,,,,,
4041,Performance Testing with JMeter 2.9,,,,,
4042,Mastering Jenkins,,,,,
4043,Performance Testing with JMeter 3 - Third Edition,,,,,
4044,Apache JMeter,,,,,
4045,Mastering Software Testing with JUnit 5,,,,,
4046,Mockito Cookbook,,,,,
4047,Selenium Framework Design in Data-Driven Testing,,,,,
4048,Selenium WebDriver 3 Practical Guide - Second Edition,,,,,
4049,Learning Selenium Testing Tools - Third Edition,,,,,
4050,Mastering Selenium WebDriver,,,,,
4051,Selenium Fundamentals,,,,,
4052,Instant Selenium Testing Tools Starter,,,,,
4053,Sonar Code Quality Testing Essentials,,,,,
4054,TestNG Beginner's Guide,,,,,
4055,Learning Apache Apex,,,,,
4056,Apache Flume: Distributed Log Collection for Hadoop - Second Edition,,,,,
4057,Apache Flume: Distributed Log Collection for Hadoop,,,,,
4058,Fast Data Processing with Spark,,,,,
4059,Learning Cascading,,,,,
4060,Learning Apache Flink,,,,,
4061,Data Lake for Enterprises,,,,,
4062,Mastering Hadoop 3,,,,,
4063,Hadoop MapReduce v2 Cookbook - Second Edition,,,,,
4064,Apache Hive Cookbook,,,,,
4065,Securing Hadoop,,,,,
4066,Hadoop Operations and Cluster Management Cookbook,,,,,
4067,Hadoop Essentials,,,,,
4068,Hadoop MapReduce Cookbook,,,,,
4069,Hadoop: Data Processing and Modelling,,,,,
4070,Hadoop Blueprints,,,,,
4071,Instant Apache Sqoop,,,,,
4072,Apache Kafka Quick Start Guide,,,,,
4073,Apache Kafka Cookbook,,,,,
4074,Learning Pentaho Data Integration 8 CE - Third Edition,,,,,
4075,Learning Pentaho CTools,,,,,
4076,Pentaho 8 Reporting for Java Developers,,,,,
4077,Mastering Splunk,,,,,
4078,Mastering Apache Storm,,,,,
4079,Storm Blueprints: Patterns for Distributed Real-time Computation,,,,,
4080,Learning Storm,,,,,
4081,Real-time Analytics with Storm and Cassandra,,,,,
4082,Mastering Apache Cassandra,,,,,
4083,Cassandra 3.x High Availability - Second Edition,,,,,
4084,Learning HBase,,,,,
4085,HBase High Performance Cookbook,,,,,
4086,Getting Started with MariaDB - Second Edition,,,,,
4087,Neo4j Cookbook,,,,,
4088,Oracle ADF Enterprise Application Development - Made Simple (Second Edition),,,,,
4089,Oracle Database 11gR2 Performance Tuning Cookbook,,,,,
4090,Oracle 10g/11g Data and Database Management Utilities,,,,,
4091,Oracle 10g/11g Data and Database Management Utilities: LITE,,,,,
4092,Oracle Enterprise Manager Cloud Control 12c: Managing Data Center Chaos,,,,,
4093,Oracle SOA Suite 12c Administrator's Guide,,,,,
4094,Amazon SimpleDB Developer Guide,,,,,
4095,Mastering Apache Cassandra 3.x - Third Edition,,,,,
4096,Learning Apache Cassandra,,,,,
4097,Mastering Apache Cassandra - Second Edition,,,,,
4098,Getting Started with Hazelcast,,,,,
4099,MongoDB for Java Developers,,,,,
4100,MongoDB Cookbook,,,,,
4101,Learning Neo4j 3.x - Second Edition,,,,,
4102,Oracle Coherence 3.5,,,,,
4103,Oracle Database XE 11gR2 Jump Start Guide,,,,,
4104,Oracle 11g Streams Implementer's Guide,,,,,
4105,EJB 3.0 Database Persistence with Oracle Fusion Middleware 11g: LITE,,,,,
4106,Oracle SOA Suite 11g Developer's Cookbook,,,,,
4107,Getting Started with OrientDB,,,,,
4108,Elasticsearch 7.0 Cookbook - Fourth Edition,,,,,
4109,Advanced Elasticsearch 7.0,,,,,
4110,ElasticSearch Cookbook,,,,,
4111,ElasticSearch Cookbook - Second Edition,,,,,
4112,Elasticsearch Essentials,,,,,
4113,Elasticsearch Server - Third Edition,,,,,
4114,ElasticSearch Server,,,,,
4115,Mastering Elasticsearch 5.x - Third Edition,,,,,
4116,Elasticsearch for Hadoop,,,,,
4117,Mastering Elasticsearch - Second Edition,,,,,
4118,Elasticsearch Server: Second Edition,,,,,
4119,Hibernate Search by Example,,,,,
4120,Lucene 4 Cookbook,,,,,
4121,Mastering Apache Solr 7.x,,,,,
4122,Solr Cookbook - Third Edition,,,,,
4123,Apache Solr Search Patterns,,,,,
4124,Apache Solr Enterprise Search Server - Third Edition,,,,,
4125,Apache Solr Beginner�s Guide,,,,,
4126,Apache Solr 3.1 Cookbook,,,,,
4127,Apache Solr 4 Cookbook,,,,,
4128,Solr 1.4 Enterprise Search Server,,,,,
4129,Ext GWT 2.0: Beginner's Guide,,,,,
4130,GateIn Cookbook,,,,,
4131,Grails 1.1 Web Application Development,,,,,
4132,Google Web Toolkit 2 Application Development Cookbook,,,,,
4133,Mastering Hibernate,,,,,
4134,Play Framework Essentials,,,,,
4135,Learning Play! Framework 2,,,,,
4136,PrimeFaces Beginner's Guide,,,,,
4137,PrimeFaces Theme Development,,,,,
4138,Seam 2.x Web Development,,,,,
4139,Seam 2 Web Development: LITE,,,,,
4140,Learning Spring Boot 2.0 - Second Edition,,,,,
4141,Spring Boot Cookbook,,,,,
4142,Spring Essentials,,,,,
4143,Spring Integration Essentials,,,,,
4144,Spring Web Flow 2 Web Development,,,,,
4145,Spring MVC: Designing Real-World Web Applications,,,,,
4146,Building Microservices with Micronaut®,,,,,
4147,Java EE 8 Microservices,,,,,
4148,Hands-On Microservices - Monitoring and Testing,,,,,
4149,Hands-On Enterprise Java Microservices with Eclipse MicroProfile,,,,,
4150,Mastering Microservices with Java 9 - Second Edition,,,,,
4151,Spring: Microservices with Spring Boot,,,,,
4152,Hands-On Microservices with Spring Boot and Spring Cloud,,,,,
4153,Microservices Deployment Cookbook,,,,,
4154,Building Microservices with Spring,,,,,
4155,Spring 5.0 Microservices - Second Edition,,,,,
4156,Spring Microservices,,,,,
4157,Practical Microservices,,,,,
4158,Getting Started with Hazelcast - Second Edition,,,,,
4159,Java Programming for Beginners,,,,,
4160,Java 7 New Features Cookbook,,,,,
4161,Mastering Microservices with Java - Third Edition,,,,,
4162,CakePHP Application Development,,,,,
4163,FuelPHP Application Development Blueprints,,,,,
4164,Laravel Application Development Blueprints,,,,,
4165,Yii Application Development Cookbook - Second Edition,,,,,
4166,Zend Framework 2 Application Development,,,,,
4167,Alfresco Developer Guide,,,,,
4168,CMS Made Simple 1.6: Beginner's Guide,,,,,
4169,concrete5: Beginner's Guide - Second Edition,,,,,
4170,concrete5 Cookbook,,,,,
4171,Creating Concrete5 Themes,,,,,
4172,Drupal 8 Module Development - Second Edition,,,,,
4173,Building Websites with ExpressionEngine 2,,,,,
4174,Joomla! 3 Beginner's Guide Second Edition,,,,,
4175,Joomla! 3 Template Essentials,,,,,
4176,Joomla! 1.5 Multimedia,,,,,
4177,Joomla! 1.5 Top Extensions Cookbook,,,,,
4178,Mastering Joomla! 1.5 Extension and Framework Development Second Edition,,,,,
4179,Learning Joomla! 3 Extension Development-Third Edition,,,,,
4180,Joomla! 1.5 Development Cookbook,,,,,
4181,Joomla! Accessibility,,,,,
4182,ChronoForms 3.1 for Joomla! site Cookbook,,,,,
4183,Joomla! 1.5 Template Design,,,,,
4184,Joomla! VirtueMart 1.1 Theme and Template Design,,,,,
4185,Joomla! 1.5 Development Cookbook: LITE,,,,,
4186,Joomla! 1.5 Site Blueprints: LITE,,,,,
4187,Joomla! 1.6 First Look,,,,,
4188,Joomla! 1.5 Cookbook,,,,,
4189,Joomla! 1.5 JavaScript jQuery,,,,,
4190,Joomla! 1.5: Beginner's Guide,,,,,
4191,Joomla! 1.5 Content Administration,,,,,
4192,Joomla! 1.5 SEO,,,,,
4193,Joomla! 1.5x Customization: Make Your Site Adapt to Your Needs,,,,,
4194,Joomla! E-Commerce with VirtueMart,,,,,
4195,Learning Joomla! 1.5 Extension Development,,,,,
4196,Building Websites with Joomla! 1.5,,,,,
4197,Mastering Joomla! 1.5 Extension and Framework Development,,,,,
4198,MediaWiki 1.1 Beginner's Guide,,,,,
4199,MediaWiki Skins Design,,,,,
4200,PHP 5 CMS Framework Development - 2nd Edition,,,,,
4201,"Mastering TypoScript: TYPO3 Website, Template, and Extension Development",,,,,
4202,TYPO3 4.3 Multimedia Cookbook,,,,,
4203,TYPO3: Enterprise Content Management,,,,,
4204,WordPress 5 Complete - Seventh Edition,,,,,
4205,WordPress Plugin Development Cookbook - Second Edition,,,,,
4206,Learn to Create WordPress Themes by Building 5 Projects,,,,,
4207,Wordpress Web Application Development - Third Edition,,,,,
4208,Learning WordPress REST API,,,,,
4209,WordPress 4.x Complete,,,,,
4210,WordPress Complete - Sixth Edition,,,,,
4211,WordPress 2.7 Cookbook,,,,,
4212,WordPress Web Application Development - Second Edition,,,,,
4213,WordPress 2.9 E-Commerce,,,,,
4214,WordPress 3.0 jQuery,,,,,
4215,WordPress 3 Ultimate Security,,,,,
4216,WordPress 2.7 Complete,,,,,
4217,WordPress Mobile Applications with PhoneGap,,,,,
4218,WordPress Mobile Web Development: Beginner's Guide,,,,,
4219,Wordpress and Flash 10x Cookbook,,,,,
4220,WordPress 3 Site Blueprints,,,,,
4221,WordPress 2.8 Theme Design,,,,,
4222,WordPress Complete,,,,,
4223,WordPress 3 For Business Bloggers,,,,,
4224,WordPress for Business Bloggers,,,,,
4225,"Social Media for Wordpress: Build Communities, Engage Members and Promote Your Site",,,,,
4226,WordPress Theme Design,,,,,
4227,WordPress Top Plugins,,,,,
4228,CiviCRM Cookbook,,,,,
4229,Using CiviCRM - Second Edition,,,,,
4230,Using CiviCRM,,,,,
4231,SugarCRM Developer's Manual: Customize and extend SugarCRM,,,,,
4232,Mastering Drupal 8,,,,,
4233,Drupal 8 Development Cookbook - Second Edition,,,,,
4234,Drupal 8 Blueprints,,,,,
4235,Drupal 8 Configuration Management,,,,,
4236,Learning Drupal 8,,,,,
4237,Drupal 8 Module Development,,,,,
4238,Drush for Developers - Second Edition,,,,,
4239,Drupal 8 Development: Beginner's Guide - Second Edition,,,,,
4240,Drupal 7 Multilingual Sites,,,,,
4241,Drupal 7 Business Solutions,,,,,
4242,Migrating to Drupal 7,,,,,
4243,Drupal 7 Module Development,,,,,
4244,Drupal 7 Media,,,,,
4245,Drupal 7 Webform Cookbook,,,,,
4246,Drupal Intranets with Open Atrium,,,,,
4247,Drupal 6 Theming Cookbook,,,,,
4248,Drupal Web Services,,,,,
4249,Drupal 7 Development by Example Beginner's Guide,,,,,
4250,Drupal 7,,,,,
4251,Drupal 6 Themes,,,,,
4252,"Drupal: Creating Blogs, Forums, Portals, and Community Websites",,,,,
4253,Drupal for Education and E-Learning - Second Edition,,,,,
4254,Drupal 7 Views Cookbook,,,,,
4255,Building E-commerce Sites with Drupal Commerce Cookbook,,,,,
4256,Magento 2 Development Quick Start Guide,,,,,
4257,Magento 2 Developer's Guide,,,,,
4258,Magento 2 Theme Design - Second Edition,,,,,
4259,Magento 2 Beginners Guide,,,,,
4260,Learning Magento 2 Administration,,,,,
4261,Magento 2 Development Cookbook,,,,,
4262,Mastering Magento 2 - Second Edition,,,,,
4263,Mastering Magento,,,,,
4264,Magento Extensions Development,,,,,
4265,Magento 2 Development Essentials,,,,,
4266,Magento 2 Cookbook,,,,,
4267,Magento PHP Developer's Guide - Second Edition,,,,,
4268,Magento 2 - Build World-Class online stores,,,,,
4269,Magento PHP Developer�s Guide,,,,,
4270,Learning Magento Theme Development,,,,,
4271,Magento 1.8 Development Cookbook,,,,,
4272,Magento : Beginner's Guide - Second Edition,,,,,
4273,Instant Magento Performance Optimization How-to,,,,,
4274,Magento Mobile How-to,,,,,
4275,Magento 1.4 Themes Design,,,,,
4276,Magento 1.3 Sales Tactics Cookbook,,,,,
4277,Magento 1.3: PHP Developer's Guide,,,,,
4278,Getting Started with OpenCart Module Development,,,,,
4279,Instant E-commerce with OpenCart: Build a Shop,,,,,
4280,Building Online Stores with osCommerce: Beginner Edition,,,,,
4281,Building Online Stores with osCommerce: Professional Edition,,,,,
4282,Deep Inside osCommerce: The Cookbook,,,,,
4283,PrestaShop Module Development,,,,,
4284,PrestaShop 1.3 Beginner's Guide,,,,,
4285,PrestaShop 1.3 Theming - Beginner's Guide,,,,,
4286,PrestaShop 1.5 Beginner�s Guide,,,,,
4287,WooCommerce Cookbook,,,,,
4288,AJAX and PHP: Building Responsive Web Applications,,,,,
4289,AJAX y PHP: Construyendo Aplicaciones Web Interactivas [Espanol],,,,,
4290,PHP Ajax Cookbook,,,,,
4291,CodeIgniter 2 Cookbook,,,,,
4292,CodeIgniter 1.7 Professional Development,,,,,
4293,Learning FuelPHP for Effective PHP Development,,,,,
4294,Getting Started with Laravel 4,,,,,
4295,MODx Web Development - Second Edition,,,,,
4296,MODx Web Development,,,,,
4297,Symfony 1.3 Web Application Development,,,,,
4298,Extending Symfony2 Web Application Framework,,,,,
4299,Symfony2 Essentials,,,,,
4300,Wordpress Development Quick Start Guide,,,,,
4301,WordPress Web Application Development,,,,,
4302,Agile Web Application Development with Yii1.1 and PHP5,,,,,
4303,Web Application Development with Yii and PHP,,,,,
4304,Zend Framework 2.0 by Example: Beginner's Guide,,,,,
4305,Zend Framework 2 Cookbook,,,,,
4306,Zend Framework 1.8 Web Application Development,,,,,
4307,Hands-On Full Stack Web Development with Angular 6 and Laravel 5,,,,,
4308,AJAX and PHP: Building Modern Web Applications 2nd Edition,,,,,
4309,PHP jQuery Cookbook,,,,,
4310,Moodle 3 Administration - Third Edition,,,,,
4311,Moodle 3.x Developer's Guide,,,,,
4312,Moodle 3 E-Learning Course Development - Fourth Edition,,,,,
4313,Gamification with Moodle,,,,,
4314,Moodle 1.9 Math,,,,,
4315,Moodle for Mobile Learning,,,,,
4316,Moodle Security,,,,,
4317,Moodle 2.0 First Look,,,,,
4318,Moodle 2.0 for Business Beginner's Guide,,,,,
4319,Moodle 1.9 for Teaching 7-14 Year Olds: Beginner's Guide,,,,,
4320,Moodle 1.9 Theme Design: Beginner's Guide,,,,,
4321,Moodle 2 Administration,,,,,
4322,Moodle Administration,,,,,
4323,Moodle Teaching Techniques,,,,,
4324,Moodle 2.0 Multimedia Cookbook,,,,,
4325,Science Teaching with Moodle 2.0,,,,,
4326,Moodle 2.5 Multimedia Cookbook,,,,,
